Id_transaction;Surface Carrez du 1er lot;Nombre de lots;Type local;Nombre pieces principales
446;63,17;2;Appartement;3
447;52,9;1;Appartement;3
448;44,4;1;Appartement;2
449;65,74;1;Appartement;3
450;61,74;1;Appartement;3
451;70,19;4;Appartement;3
452;66,05;1;Appartement;3
453;89,43;1;Maison;5
454;71,64;2;Appartement;3
455;107,15;1;Maison;5
456;87,01;1;Appartement;4
457;52,9;2;Appartement;3
458;63,2;3;Appartement;3
459;122,8;1;Maison;5
460;53,39;2;Appartement;2
461;25,5;1;Appartement;1
462;27,73;2;Appartement;2
463;56,21;2;Appartement;3
464;96,33;1;Appartement;4
465;49,42;1;Appartement;2
466;51,34;1;Appartement;2
467;149,71;1;Appartement;5
468;44,5;1;Appartement;2
469;23,95;2;Appartement;1
470;76,07;1;Maison;3
471;70;1;Maison;3
472;66,05;1;Appartement;3
473;85,07;2;Appartement;4
474;58,94;1;Appartement;3
475;30,52;1;Appartement;3
476;71,62;2;Appartement;3
477;48,65;2;Appartement;3
478;122,79;1;Appartement;4
479;68,51;2;Appartement;3
480;23,28;2;Appartement;1
481;22,51;1;Appartement;1
482;53,68;2;Appartement;2
483;88,9;1;Maison;4
484;64,41;2;Appartement;4
485;21,28;1;Appartement;1
486;49,28;1;Appartement;3
487;64,41;1;Appartement;3
488;82,56;1;Appartement;4
489;73,6;2;Appartement;4
490;93,49;2;Appartement;5
491;72,52;2;Maison;4
492;59,69;3;Appartement;3
493;85,22;1;Appartement;4
494;34,92;1;Appartement;2
495;49,45;1;Maison;1
496;81,95;2;Appartement;4
497;68,12;2;Appartement;3
498;20,5;2;Appartement;1
499;26,72;1;Appartement;1
500;41,7;2;Appartement;2
501;63,77;1;Appartement;3
502;44,04;2;Appartement;3
503;28,5;1;Appartement;1
504;94,35;1;Maison;5
505;77,15;1;Appartement;4
506;72,75;1;Appartement;4
507;304,8;1;Maison;9
508;82,21;1;Maison;4
509;40,04;2;Appartement;2
510;77,41;2;Appartement;4
511;146,82;1;Appartement;5
512;41,75;1;Appartement;3
513;56,91;2;Appartement;3
514;69,31;1;Appartement;3
515;80,28;1;Appartement;4
516;77,7;1;Maison;4
517;108,65;2;Appartement;4
518;86,8;1;Appartement;3
519;52,58;1;Appartement;2
520;34,9;1;Appartement;1
521;22,47;1;Appartement;2
522;47,42;1;Appartement;2
523;66,12;2;Appartement;1
524;67,99;1;Appartement;2
525;59,74;1;Appartement;3
526;46,66;1;Appartement;2
527;42,84;1;Appartement;2
528;22,71;1;Appartement;1
529;59,05;1;Appartement;3
530;85,93;2;Appartement;5
531;69,46;2;Appartement;4
532;28,52;1;Appartement;2
533;27,76;1;Appartement;1
534;21,51;1;Appartement;2
535;50,43;1;Appartement;2
536;64,3;1;Appartement;3
537;53,66;1;Appartement;3
538;20,37;1;Appartement;1
539;35,27;1;Appartement;1
540;55,7;1;Appartement;3
541;33,46;1;Appartement;0
542;22,8;1;Appartement;2
543;51,43;1;Appartement;1
544;20,45;1;Appartement;1
545;17,1;1;Appartement;1
546;103,14;1;Appartement;4
547;68,81;2;Appartement;3
548;76,15;2;Appartement;5
549;48,14;2;Appartement;2
550;27,3;1;Appartement;1
551;67,2;2;Appartement;4
552;36,23;1;Appartement;2
553;27;1;Appartement;1
554;36,08;1;Appartement;2
555;32;1;Appartement;1
556;66,81;2;Appartement;4
557;73,65;2;Appartement;4
558;40,43;2;Appartement;2
559;32,2;1;Appartement;2
560;65,63;1;Appartement;3
561;58,87;1;Appartement;3
562;42,47;1;Appartement;2
563;104,56;1;Maison;5
564;78,83;2;Appartement;3
565;68,06;2;Appartement;3
566;42;1;Maison;2
567;51,43;1;Appartement;2
568;58,22;1;Appartement;3
569;86,01;1;Maison;4
570;59,74;1;Appartement;3
571;21,55;1;Appartement;1
572;52,66;2;Appartement;3
573;36,69;1;Appartement;2
574;44,09;1;Appartement;2
575;22,13;1;Appartement;1
576;51,26;1;Appartement;2
577;18;1;Appartement;0
578;73,12;1;Appartement;3
579;35,6;1;Appartement;2
580;132,05;1;Appartement;4
581;74,5;1;Appartement;3
582;42,06;1;Appartement;2
583;23,57;1;Appartement;2
584;23,53;2;Appartement;1
585;42;1;Appartement;2
586;88,35;4;Appartement;4
587;74,57;2;Appartement;3
588;47,9;1;Appartement;2
589;69,11;2;Appartement;4
590;24,04;1;Appartement;1
591;103,79;1;Appartement;5
592;61,06;1;Appartement;3
593;69,81;2;Appartement;4
594;140;1;Appartement;3
595;77,18;2;Appartement;3
596;82,6;3;Appartement;4
597;53,6;1;Appartement;2
598;57;2;Appartement;3
599;74,15;1;Appartement;3
600;92,5;1;Appartement;4
601;67,77;1;Appartement;3
602;52,26;1;Appartement;3
603;58,27;2;Appartement;3
604;133,89;2;Appartement;5
605;32,69;1;Appartement;1
606;21,92;1;Appartement;1
607;71,74;2;Appartement;4
608;30,62;1;Appartement;2
609;64,3;1;Appartement;3
610;102,76;2;Appartement;6
611;53,05;1;Appartement;2
612;38,12;1;Appartement;2
613;46,65;1;Appartement;2
614;72;1;Appartement;3
615;29,02;1;Appartement;1
616;143,12;2;Appartement;3
617;17,94;2;Appartement;1
618;42,3;1;Appartement;2
619;46,28;1;Appartement;2
620;33,66;2;Appartement;2
621;85,61;2;Appartement;4
622;50,04;1;Appartement;3
623;39,86;1;Appartement;2
624;31,65;1;Appartement;1
625;62,72;2;Appartement;3
626;30,81;2;Appartement;2
627;40,8;1;Appartement;1
628;55,23;2;Appartement;3
629;71,59;1;Appartement;4
630;60,22;1;Appartement;3
631;23,62;2;Appartement;1
632;79,74;2;Appartement;4
633;156,5;2;Maison;6
634;84,28;1;Appartement;2
635;15,86;1;Appartement;1
636;87,49;1;Appartement;3
637;35,55;1;Appartement;2
638;121,99;2;Appartement;4
639;56,15;1;Appartement;3
640;81,5;1;Appartement;4
641;97,04;1;Appartement;2
642;65,4;2;Appartement;3
643;73,78;1;Appartement;4
644;34,48;1;Appartement;2
645;63,54;1;Appartement;3
646;25,35;1;Appartement;1
647;19,5;2;Appartement;1
648;61,23;2;Appartement;3
649;16,98;1;Appartement;1
650;59,72;2;Appartement;3
651;33,58;1;Appartement;2
652;53,1;2;Appartement;3
653;67;1;Appartement;3
654;52,05;1;Appartement;3
655;46,6;1;Appartement;2
656;41,64;1;Appartement;3
657;35,76;1;Appartement;2
658;36,15;1;Appartement;2
659;37,23;1;Appartement;2
660;115,26;1;Appartement;4
661;130,8;2;Appartement;6
662;58,71;1;Appartement;2
663;76,16;1;Appartement;3
664;83,21;1;Appartement;4
665;29,07;1;Appartement;1
666;90,45;2;Appartement;4
667;103,92;1;Appartement;5
668;69;1;Appartement;3
669;47,5;1;Appartement;3
670;52,8;2;Appartement;1
671;63,15;1;Appartement;3
672;66,02;1;Appartement;3
673;35,76;1;Appartement;3
674;26,71;1;Appartement;1
675;35,63;1;Appartement;2
676;32,34;3;Appartement;2
677;37,12;1;Appartement;2
678;32,53;1;Appartement;3
679;24,61;1;Maison;2
680;111,96;2;Appartement;4
681;34,34;2;Appartement;1
682;33,08;1;Appartement;2
683;28,34;1;Appartement;2
684;38,54;1;Appartement;2
685;20,2;1;Appartement;1
686;29,86;1;Appartement;2
687;27,65;1;Appartement;1
688;50,32;2;Appartement;2
689;69,32;1;Appartement;3
690;68,45;1;Appartement;3
691;68,89;1;Appartement;3
692;65,72;1;Appartement;4
693;125,85;1;Appartement;2
694;41,07;1;Appartement;2
695;30,84;1;Appartement;1
696;53,11;1;Appartement;3
697;84,69;2;Appartement;5
698;87,16;1;Appartement;4
699;37,78;1;Appartement;2
700;45,23;2;Appartement;3
701;26,4;1;Appartement;2
702;31,12;1;Appartement;1
703;52;1;Appartement;3
704;18,52;1;Appartement;1
705;47,34;1;Appartement;2
706;103,36;1;Maison;4
707;66,02;1;Maison;3
708;43,69;1;Appartement;2
709;62,84;1;Appartement;3
710;29,6;1;Maison;3
711;62,91;2;Appartement;3
712;57,03;2;Appartement;3
713;88,21;1;Appartement;4
714;83,63;1;Appartement;4
715;47,67;1;Appartement;2
716;70,21;1;Appartement;4
717;94;1;Appartement;4
718;60,65;2;Appartement;3
719;51,17;1;Appartement;3
720;29,94;1;Appartement;1
721;45,95;3;Maison;2
722;23,84;1;Appartement;1
723;116,72;1;Maison;4
724;16,24;6;Appartement;4
725;73,01;2;Maison;3
726;28,65;1;Appartement;1
727;69,08;1;Appartement;3
728;25,53;1;Appartement;1
729;38,35;1;Appartement;2
730;47,6;3;Appartement;4
731;36,13;2;Appartement;2
732;39,56;1;Appartement;2
733;61,47;2;Appartement;3
734;76,09;1;Appartement;3
735;65,48;1;Appartement;3
736;68,77;1;Appartement;4
737;60,09;1;Appartement;4
738;36,96;2;Appartement;3
739;58,5;1;Appartement;3
740;22,98;1;Appartement;1
741;57,07;1;Appartement;2
742;29,94;1;Appartement;2
743;83,05;1;Appartement;3
744;100,55;2;Appartement;5
745;32,43;1;Appartement;2
746;27,5;1;Appartement;1
747;119,31;2;Appartement;5
748;43,01;1;Appartement;2
749;24,8;1;Appartement;1
750;16,58;1;Appartement;1
751;63,8;1;Appartement;4
752;63,12;1;Appartement;2
753;45,83;1;Appartement;2
754;18,96;1;Appartement;2
755;39,18;2;Appartement;1
756;22,61;1;Appartement;1
757;43,71;2;Appartement;1
758;62,24;1;Appartement;4
759;41;1;Appartement;2
760;81,15;2;Appartement;3
761;117,1;1;Appartement;5
762;78,74;2;Appartement;3
763;52,84;1;Appartement;3
764;15,88;3;Appartement;1
765;63,45;2;Appartement;3
766;42,01;1;Appartement;3
767;69,34;2;Appartement;4
768;49,84;2;Appartement;4
769;29,68;1;Appartement;2
770;84,8;2;Appartement;2
771;43,16;1;Appartement;3
772;41,66;2;Appartement;3
773;25,11;1;Appartement;1
774;51,43;2;Appartement;3
775;61,82;1;Appartement;3
776;59,47;2;Appartement;2
777;82,7;1;Appartement;4
778;66,21;2;Appartement;2
779;23,1;1;Appartement;2
780;60,96;1;Appartement;3
781;113,66;1;Appartement;1
782;24,38;1;Appartement;1
783;32,05;2;Appartement;2
784;30,9;1;Appartement;2
785;11,6;1;Appartement;1
786;43,7;2;Appartement;3
787;44,51;1;Appartement;2
788;130,72;1;Maison;6
789;47,32;1;Appartement;2
790;76,99;1;Appartement;4
791;32,71;1;Appartement;2
792;42;1;Appartement;2
793;43,46;1;Appartement;2
794;47,26;1;Appartement;2
795;70,09;1;Appartement;3
796;53,4;1;Appartement;3
797;34,16;2;Appartement;1
798;75,76;2;Appartement;4
799;88,05;1;Maison;4
800;25,7;1;Appartement;1
801;65,28;1;Appartement;3
802;60,09;1;Maison;2
803;46,1;1;Appartement;2
804;45,71;2;Appartement;2
805;50,33;2;Appartement;2
806;94,08;2;Appartement;5
807;91,15;1;Appartement;4
808;29,56;1;Appartement;2
809;26,38;2;Appartement;1
810;50;1;Appartement;2
811;66,23;3;Appartement;3
812;22,3;1;Appartement;1
813;39,99;1;Appartement;2
814;66,25;2;Appartement;3
815;54,36;1;Appartement;2
816;62,98;3;Appartement;3
817;42,36;1;Appartement;2
818;70,09;1;Maison;4
819;22,23;2;Appartement;1
820;50,23;1;Appartement;3
821;77,06;1;Maison;4
822;73,67;1;Appartement;3
823;66,48;1;Appartement;3
824;109,17;2;Appartement;5
825;22,05;1;Appartement;2
826;21,27;1;Appartement;2
827;20,44;1;Appartement;1
828;43,28;2;Appartement;2
829;59,53;2;Appartement;2
830;41,1;2;Appartement;2
831;38,53;2;Appartement;2
832;58,21;4;Appartement;3
833;72,8;1;Maison;4
834;63,9;1;Appartement;3
835;78,35;1;Appartement;4
836;102,14;1;Appartement;4
837;59;2;Appartement;4
838;58,03;1;Appartement;3
839;20,8;2;Appartement;1
840;21,37;1;Appartement;1
841;28,86;1;Appartement;1
842;34,1;1;Appartement;1
843;37,71;2;Appartement;1
844;22,21;1;Appartement;1
845;50,86;2;Appartement;1
846;66,73;2;Appartement;2
847;22,9;2;Appartement;2
848;36,9;1;Appartement;2
849;62,23;1;Appartement;3
850;27,7;2;Appartement;1
851;63,08;2;Appartement;4
852;68,06;1;Appartement;3
853;24,55;1;Appartement;1
854;122,88;1;Maison;5
855;80,36;2;Appartement;5
856;100,3;1;Maison;4
857;100,96;2;Appartement;4
858;67,24;2;Appartement;3
859;63,03;1;Appartement;3
860;59,44;2;Appartement;3
861;59,34;2;Appartement;3
862;45,88;1;Appartement;3
863;93,89;1;Appartement;5
864;18,84;1;Appartement;1
865;35,62;2;Appartement;2
866;103,19;1;Maison;5
867;72,63;1;Appartement;3
868;92,54;2;Appartement;5
869;29,67;5;Maison;0
870;84,85;1;Maison;5
871;42,66;1;Appartement;2
872;45,36;2;Appartement;2
873;51,24;1;Appartement;2
874;54,26;1;Appartement;2
875;88,39;1;Appartement;3
876;38;1;Appartement;2
877;25,68;1;Appartement;2
878;34,94;1;Appartement;1
879;13,69;1;Appartement;1
880;68,35;1;Appartement;3
881;45,5;1;Appartement;2
882;24,85;1;Appartement;2
883;26,48;1;Appartement;1
884;31,21;1;Maison;2
885;34,41;1;Appartement;1
886;64,23;1;Appartement;3
887;21,12;1;Appartement;1
888;53,45;2;Appartement;3
889;55;1;Appartement;2
890;68,8;1;Appartement;3
891;84,67;1;Appartement;3
892;90,06;1;Appartement;3
893;49,13;1;Appartement;2
894;57,46;1;Appartement;3
895;23,07;1;Appartement;1
896;27,15;1;Appartement;1
897;22,23;1;Appartement;1
898;76,28;1;Appartement;4
899;66;2;Appartement;4
900;107,3;1;Appartement;5
901;66,36;1;Appartement;4
902;29,38;1;Appartement;1
903;31,48;1;Appartement;2
904;32,77;2;Appartement;2
905;28,89;1;Appartement;2
906;114,48;1;Appartement;4
907;55,53;2;Appartement;2
908;98,03;1;Maison;4
909;72;1;Appartement;3
910;41,77;1;Appartement;1
911;37,59;1;Maison;2
912;38,29;1;Appartement;1
913;76,95;2;Appartement;4
914;77,2;2;Appartement;4
915;80,15;1;Appartement;5
916;38,29;2;Appartement;2
917;42,56;1;Appartement;2
918;59,36;1;Appartement;3
919;18,38;1;Appartement;1
920;28,64;1;Appartement;1
921;20,05;1;Appartement;2
922;41,9;1;Appartement;2
923;22,8;1;Appartement;1
924;82,42;1;Appartement;4
925;48,17;1;Maison;3
926;88,19;1;Maison;4
927;95,46;2;Appartement;3
928;83,34;1;Appartement;4
929;20,4;1;Appartement;1
930;36,2;3;Appartement;2
931;59,04;2;Appartement;4
932;44,38;2;Appartement;2
933;67;1;Appartement;4
934;41,46;2;Appartement;2
935;76,74;2;Appartement;4
