Com_code;regrgp_nom;reg_nom;com_nom_maj_court
01165;Province;Auvergne-Rhône-Alpes;FRANCHELEINS
01166;Province;Auvergne-Rhône-Alpes;FRANS
01167;Province;Auvergne-Rhône-Alpes;GARNERANS
01168;Province;Auvergne-Rhône-Alpes;GENAY
01169;Province;Auvergne-Rhône-Alpes;GENOUILLEUX
01170;Province;Auvergne-Rhône-Alpes;GEOVREISSIAT
01171;Province;Auvergne-Rhône-Alpes;GEOVREISSET
01172;Province;Auvergne-Rhône-Alpes;GERMAGNAT
01173;Province;Auvergne-Rhône-Alpes;GEX
01174;Province;Auvergne-Rhône-Alpes;GIRON
01175;Province;Auvergne-Rhône-Alpes;GORREVOD
01176;Province;Auvergne-Rhône-Alpes;LE GRAND ABERGEMENT
01177;Province;Auvergne-Rhône-Alpes;GRAND CORENT
01178;Province;Auvergne-Rhône-Alpes;GRANGES
01179;Province;Auvergne-Rhône-Alpes;GRIEGES
01180;Province;Auvergne-Rhône-Alpes;GRILLY
01181;Province;Auvergne-Rhône-Alpes;GROISSIAT
01182;Province;Auvergne-Rhône-Alpes;GROSLEE
01183;Province;Auvergne-Rhône-Alpes;GUEREINS
01184;Province;Auvergne-Rhône-Alpes;HAUTECOURT ROMANECHE
01185;Province;Auvergne-Rhône-Alpes;HAUTEVILLE LOMPNES
01186;Province;Auvergne-Rhône-Alpes;HOSTIAS
01187;Province;Auvergne-Rhône-Alpes;HOTONNES
01188;Province;Auvergne-Rhône-Alpes;ILLIAT
01189;Province;Auvergne-Rhône-Alpes;INJOUX GENISSIAT
01190;Province;Auvergne-Rhône-Alpes;INNIMOND
01191;Province;Auvergne-Rhône-Alpes;IZENAVE
01192;Province;Auvergne-Rhône-Alpes;IZERNORE
01193;Province;Auvergne-Rhône-Alpes;IZIEU
01194;Province;Auvergne-Rhône-Alpes;JASSANS RIOTTIER
01195;Province;Auvergne-Rhône-Alpes;JASSERON
01196;Province;Auvergne-Rhône-Alpes;JAYAT
01197;Province;Auvergne-Rhône-Alpes;JOURNANS
01198;Province;Auvergne-Rhône-Alpes;JOYEUX
01199;Province;Auvergne-Rhône-Alpes;JUJURIEUX
01200;Province;Auvergne-Rhône-Alpes;LABALME
01201;Province;Auvergne-Rhône-Alpes;LACOUX
01202;Province;Auvergne-Rhône-Alpes;LAGNIEU
01203;Province;Auvergne-Rhône-Alpes;LAIZ
01204;Province;Auvergne-Rhône-Alpes;LALLEYRIAT
01205;Province;Auvergne-Rhône-Alpes;LANCRANS
01206;Province;Auvergne-Rhône-Alpes;LANTENAY
01207;Province;Auvergne-Rhône-Alpes;LAPEYROUSE
01208;Province;Auvergne-Rhône-Alpes;LAVOURS
01209;Province;Auvergne-Rhône-Alpes;LEAZ
01210;Province;Auvergne-Rhône-Alpes;LELEX
01211;Province;Auvergne-Rhône-Alpes;LENT
01212;Province;Auvergne-Rhône-Alpes;LESCHEROUX
01213;Province;Auvergne-Rhône-Alpes;LEYMENT
01214;Province;Auvergne-Rhône-Alpes;LEYSSARD
01215;Province;Auvergne-Rhône-Alpes;LHOPITAL
01216;Province;Auvergne-Rhône-Alpes;LHUIS
01217;Province;Auvergne-Rhône-Alpes;LILIGNOD
01218;Province;Auvergne-Rhône-Alpes;LOCHIEU
01219;Province;Auvergne-Rhône-Alpes;LOMPNAS
01220;Province;Auvergne-Rhône-Alpes;LOMPNES
01221;Province;Auvergne-Rhône-Alpes;LOMPNIEU
01222;Province;Auvergne-Rhône-Alpes;LONGECOMBE
01223;Province;Auvergne-Rhône-Alpes;LOYES
01224;Province;Auvergne-Rhône-Alpes;LOYETTES
01225;Province;Auvergne-Rhône-Alpes;LURCY
01226;Province;Auvergne-Rhône-Alpes;LUTHEZIEU
01227;Province;Auvergne-Rhône-Alpes;MAGNIEU
01228;Province;Auvergne-Rhône-Alpes;MAILLAT
01229;Province;Auvergne-Rhône-Alpes;MALAFRETAZ
01230;Province;Auvergne-Rhône-Alpes;MANTENAY MONTLIN
01231;Province;Auvergne-Rhône-Alpes;MANZIAT
01232;Province;Auvergne-Rhône-Alpes;MARBOZ
01233;Province;Auvergne-Rhône-Alpes;MARCHAMP
01234;Province;Auvergne-Rhône-Alpes;MARIGNIEU
01235;Province;Auvergne-Rhône-Alpes;MARLIEUX
01236;Province;Auvergne-Rhône-Alpes;MARSONNAS
01237;Province;Auvergne-Rhône-Alpes;MARTIGNAT
01238;Province;Auvergne-Rhône-Alpes;MASSIEUX
01239;Province;Auvergne-Rhône-Alpes;MASSIGNIEU DE RIVES
01240;Province;Auvergne-Rhône-Alpes;MATAFELON GRANGES
01241;Province;Auvergne-Rhône-Alpes;MEILLONNAS
01242;Province;Auvergne-Rhône-Alpes;MERIGNAT
01243;Province;Auvergne-Rhône-Alpes;MESSIMY SUR SAONE
01244;Province;Auvergne-Rhône-Alpes;MEXIMIEUX
01245;Province;Auvergne-Rhône-Alpes;BOHAS MEYRIAT RIGNAT
01246;Province;Auvergne-Rhône-Alpes;MEZERIAT
01247;Province;Auvergne-Rhône-Alpes;MIJOUX
01248;Province;Auvergne-Rhône-Alpes;MIONNAY
01249;Province;Auvergne-Rhône-Alpes;MIRIBEL
01250;Province;Auvergne-Rhône-Alpes;MISERIEUX
01251;Province;Auvergne-Rhône-Alpes;MOENS
01252;Province;Auvergne-Rhône-Alpes;MOGNENEINS
01253;Province;Auvergne-Rhône-Alpes;MOLLON
01254;Province;Auvergne-Rhône-Alpes;MONTAGNAT
01255;Province;Auvergne-Rhône-Alpes;MONTAGNIEU
