Codedep_com;COM;PTOT;
02243;Crouy;2970;
02244;Crupilly;66;
02245;Cuffies;1840;
02246;Cugny;615;
02248;Cuirieux;159;
02249;Cuiry-Housse;100;
02250;Cuiry-lès-Chaudardes;77;
02251;Cuiry-lès-Iviers;28;
02252;Cuissy-et-Geny;73;
02253;Cuisy-en-Almont;361;
02254;Cutry;134;
02255;Cys-la-Commune;155;
02256;Dagny-Lambercy;132;
02257;Dallon;450;
02258;Dammard;383;
02259;Dampleux;407;
02260;Danizy;661;
02261;Dercy;400;
02262;Deuillet;214;
02263;Dhuizel;112;
02264;Dizy-le-Gros;746;
02265;Dohis;101;
02266;Dolignon;48;
02267;Dommiers;302;
02268;Domptin;660;
02269;Dorengt;161;
02270;Douchy;167;
02271;Dravegny;132;
02272;Droizy;80;
02273;Dury;207;
02274;Ebouleau;201;
02275;Effry;325;
02276;Englancourt;122;
02277;Epagny;349;
02278;Eparcy;33;
02279;Epaux-Bézu;578;
02280;Epieds;421;
02281;L'Epine-aux-Bois;267;
02282;Eppes;435;
02283;Erlon;295;
02284;Erloy;103;
02286;Esquéhéries;878;
02287;Essigny-le-Grand;1075;
02288;Essigny-le-Petit;355;
02289;Essises;422;
02290;Essômes-sur-Marne;2818;
02291;Estrées;418;
02292;Etampes-sur-Marne;1333;
02293;Etaves-et-Bocquiaux;563;
02294;Etouvelles;215;
02295;Etréaupont;860;
02296;Etreillers;1218;
02297;Etrépilly;123;
02298;Etreux;1429;
02299;Evergnicourt;552;
02302;Faverolles;333;
02303;Fayet;696;
02304;La Fère;2973;
02305;Fère-en-Tardenois;3056;
02306;La Ferté-Chevresis;519;
02307;La Ferté-Milon;2219;
02308;Fesmy-le-Sart;484;
02309;Festieux;676;
02310;Fieulaine;255;
02311;Filain;122;
02312;La Flamengrie;1110;
02313;Flavigny-le-Grand-et-Beaurain;449;
02315;Flavy-le-Martel;1703;
02316;Fleury;133;
02317;Fluquières;222;
02318;Folembray;1399;
02319;Fonsomme;498;
02320;Fontaine-lès-Clercs;241;
02321;Fontaine-lès-Vervins;1090;
02322;Fontaine-Notre-Dame;389;
02323;Fontaine-Uterte;137;
02324;Fontenelle;284;
02326;Fontenoy;478;
02327;Foreste;164;
02328;Fossoy;519;
02329;Fourdrain;434;
02330;Francilly-Selency;537;
02331;Franqueville;113;
02332;Fresnes-en-Tardenois;269;
02333;Fresnes-sous-Coucy;164;
02334;Fresnoy-le-Grand;3028;
02335;Fressancourt;191;
02336;Frières-FaillouÃ«l;998;
02337;Froidestrées;172;
02338;Froidmont-Cohartille;262;
02339;Gandelu;699;
02340;Gauchy;5309;
02341;Gercy;269;
02342;Gergny;136;
02343;Germaine;81;
02345;Gibercourt;42;
02346;Gizy;676;
02347;Gland;450;
02349;Goudelancourt-lès-Berrieux;56;
02350;Goudelancourt-lès-Pierrepont;138;
02351;Goussancourt;119;
02352;Gouy;570;
02353;Grandlup-et-Fay;297;
02354;Grandrieux;82;
02355;Gricourt;979;
02356;Grisolles;242;
02357;Gronard;73;
02358;Grougis;336;
02359;Grugies;1321;
02360;Villeneuve-sur-Aisne;2790;
02361;Guise;4723;
02362;Guivry;250;
02363;Guny;393;
02364;Guyencourt;263;
02366;Hannapes;331;
02367;Happencourt;134;
02368;Haramont;581;
02369;Harcigny;244;
02370;Hargicourt;615;
02371;Harly;1613;
02372;Hartennes-et-Taux;357;
02373;Hary;202;
02374;Lehaucourt;870;
02375;Hautevesnes;162;
02376;Hauteville;179;
02377;Haution;143;
02378;La Hérie;134;
02379;Le Hérie-la-Viéville;332;
02380;Hinacourt;25;
02381;Hirson;8897;
02382;Holnon;1406;
02383;Homblières;1498;
02384;Houry;58;
02385;Housset;163;
02386;Iron;227;
02387;Itancourt;1050;
02388;Iviers;231;
02389;Jaulgonne;675;
02390;Jeancourt;266;
02391;Jeantes;206;
02392;Joncourt;317;
02393;Jouaignes;146;
02395;Jumencourt;147;
02396;Jumigny;65;
02397;Jussy;1272;
02398;Juvigny;288;
02399;Juvincourt-et-Damary;612;
02400;Laffaux;152;
02401;Laigny;196;
02402;Lanchy;39;
02403;Landifay-et-Bertaignemont;267;
02404;Landouzy-la-Cour;190;
02405;Landouzy-la-Ville;540;
02406;Landricourt;137;
02407;Laniscourt;208;
02408;Laon;24970;
02409;Lappion;272;
02410;Largny-sur-Automne;254;
02411;Latilly;207;
02412;Launoy;101;
02413;Laval-en-Laonnois;248;
02414;Lavaqueresse;206;
02415;Laversine;164;
02416;Lemé;430;
02417;Lempire;116;
02418;Lerzy;227;
02419;Leschelle;278;
02420;Lesdins;840;
02421;Lesges;107;
02422;Lesquielles-Saint-Germain;815;
02423;Leuilly-sous-Coucy;430;
02424;Leury;104;
02425;Leuze;175;
02426;Levergies;550;
02427;Lhuys;139;
02428;Licy-Clignon;76;
02429;Lierval;123;
02430;Liesse-Notre-Dame;1400;
02431;Liez;392;
02432;Limé;194;
02433;Lislet;229;
02435;Logny-lès-Aubenton;79;
02438;Longpont;258;
02439;Les Septvallons;1197;
02440;Lor;138;
02441;Louâtre;191;
02442;Loupeigne;91;
02443;Lucy-le-Bocage;209;
02444;Lugny;121;
02445;Luzoir;288;
02446;Ly-Fontaine;119;
02447;Maast-et-Violaine;152;
02448;Mâchecourt;125;
02449;Macogny;69;
02450;Macquigny;370;
02451;Magny-la-Fosse;125;
02452;Maissemy;246;
02453;Maizy;412;
02454;La Malmaison;407;
02455;Malzy;205;
02456;Manicamp;303;
02457;Marchais;414;
02458;Dhuys et Morin-en-Brie;837;
02459;Marcy;169;
02460;Marcy-sous-Marle;202;
02461;Marest-Dampcourt;389;
02462;Mareuil-en-Dôle;233;
02463;Marfontaine;91;
02464;Margival;367;
02465;Marigny-en-Orxois;520;
02466;Marizy-Sainte-Geneviève;133;
02467;Marizy-Saint-Mard;52;
02468;Marle;2264;
02469;Marly-Gomont;498;
02470;Martigny;447;
02471;Martigny-Courpierre;137;
02472;Mauregny-en-Haye;416;
02473;Mayot;216;
02474;Mennessis;396;
02476;Mennevret;683;
02477;Mercin-et-Vaux;985;
02478;Merlieux-et-Fouquerolles;269;
