Com_code;com_nom_maj_court;regrgp_nom;reg_nom
01202;LAGNIEU;Province;Auvergne-Rhône-Alpes
01203;LAIZ;Province;Auvergne-Rhône-Alpes
01204;LALLEYRIAT;Province;Auvergne-Rhône-Alpes
01205;LANCRANS;Province;Auvergne-Rhône-Alpes
01206;LANTENAY;Province;Auvergne-Rhône-Alpes
01207;LAPEYROUSE;Province;Auvergne-Rhône-Alpes
01208;LAVOURS;Province;Auvergne-Rhône-Alpes
01209;LEAZ;Province;Auvergne-Rhône-Alpes
01210;LELEX;Province;Auvergne-Rhône-Alpes
01211;LENT;Province;Auvergne-Rhône-Alpes
01212;LESCHEROUX;Province;Auvergne-Rhône-Alpes
01213;LEYMENT;Province;Auvergne-Rhône-Alpes
01214;LEYSSARD;Province;Auvergne-Rhône-Alpes
01215;LHOPITAL;Province;Auvergne-Rhône-Alpes
01216;LHUIS;Province;Auvergne-Rhône-Alpes
01217;LILIGNOD;Province;Auvergne-Rhône-Alpes
01218;LOCHIEU;Province;Auvergne-Rhône-Alpes
01219;LOMPNAS;Province;Auvergne-Rhône-Alpes
01220;LOMPNES;Province;Auvergne-Rhône-Alpes
01221;LOMPNIEU;Province;Auvergne-Rhône-Alpes
01222;LONGECOMBE;Province;Auvergne-Rhône-Alpes
01223;LOYES;Province;Auvergne-Rhône-Alpes
01224;LOYETTES;Province;Auvergne-Rhône-Alpes
01225;LURCY;Province;Auvergne-Rhône-Alpes
01226;LUTHEZIEU;Province;Auvergne-Rhône-Alpes
01227;MAGNIEU;Province;Auvergne-Rhône-Alpes
01228;MAILLAT;Province;Auvergne-Rhône-Alpes
01229;MALAFRETAZ;Province;Auvergne-Rhône-Alpes
01230;MANTENAY MONTLIN;Province;Auvergne-Rhône-Alpes
01231;MANZIAT;Province;Auvergne-Rhône-Alpes
01232;MARBOZ;Province;Auvergne-Rhône-Alpes
01233;MARCHAMP;Province;Auvergne-Rhône-Alpes
01234;MARIGNIEU;Province;Auvergne-Rhône-Alpes
01235;MARLIEUX;Province;Auvergne-Rhône-Alpes
